,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,true_label,predicted_proba,predicted_label,confidence,age_group,confidence_band
10683,0.019252081,66,0,0.433925811,5175.0,13,0,1,0,0.0,0,0.00683495681732893,0,0.9931650431826711,60+,"(0.95, 1.0]"
40174,0.454220826,78,0,0.873533246,2300.0,7,0,1,0,2.0,0,0.018910680338740347,0,0.9810893196612597,60+,"(0.95, 1.0]"
4720,0.077572174,59,0,0.172881669,10833.0,5,0,1,0,0.0,0,0.0036063842475414277,0,0.9963936157524586,40-60,"(0.95, 1.0]"
81731,0.107863686,59,0,0.453691546,9900.0,10,0,2,0,0.0,0,0.010319634154438973,0,0.9896803658455611,40-60,"(0.95, 1.0]"
113640,0.101095417,67,0,0.407830617,5950.0,14,0,2,0,0.0,0,0.011407432891428471,0,0.9885925671085716,60+,"(0.95, 1.0]"
86740,0.019643175,80,0,29.0,,5,0,0,0,,0,0.002545011555776,0,0.997454988444224,60+,"(0.95, 1.0]"
30082,0.0,62,0,0.168298074,9500.0,8,0,1,0,1.0,0,0.00715169683098793,0,0.9928483031690121,60+,"(0.95, 1.0]"
12132,0.9999999,50,98,0.0,1350.0,0,98,0,98,0.0,1,0.6570122122764588,1,0.6570122122764588,40-60,"(0.6, 0.7]"
57896,0.115157435,28,0,0.107822748,6250.0,5,0,0,0,0.0,0,0.012273029237985612,0,0.9877269707620144,25-40,"(0.95, 1.0]"
38810,0.024171811,46,1,0.576745047,5400.0,8,0,1,0,2.0,0,0.03732176870107651,0,0.9626782312989235,40-60,"(0.95, 1.0]"
54746,0.096229095,50,0,0.513236391,5363.0,6,0,2,0,3.0,0,0.011662198789417743,0,0.9883378012105822,40-60,"(0.95, 1.0]"
20190,0.084621866,55,0,2926.0,,21,0,1,0,,0,0.008989859186112881,0,0.9910101408138872,40-60,"(0.95, 1.0]"
33464,0.022158142,84,0,0.00749875,6000.0,8,0,0,0,0.0,0,0.005487571051344275,0,0.9945124289486558,60+,"(0.95, 1.0]"
116868,0.979630476,58,0,4440.0,,15,0,1,0,0.0,0,0.04377535581588745,0,0.9562246441841126,40-60,"(0.95, 1.0]"
14452,0.138373504,64,0,0.2488397,2800.0,6,0,1,0,0.0,0,0.008815819583833217,0,0.9911841804161667,60+,"(0.95, 1.0]"
133673,0.885852358,40,0,0.097357772,4200.0,3,0,0,0,5.0,0,0.09844816625118255,0,0.9015518337488174,25-40,"(0.9, 0.95]"
57359,0.757040493,48,0,0.223777495,5500.0,3,0,1,0,0.0,0,0.04926791936159134,0,0.9507320806384086,40-60,"(0.95, 1.0]"
76683,0.821847468,63,0,0.431699191,2100.0,5,0,0,0,0.0,0,0.06007743403315544,0,0.9399225659668445,60+,"(0.9, 0.95]"
119186,0.032750617,77,0,0.202617944,11000.0,7,0,1,0,1.0,0,0.002545011555776,0,0.997454988444224,60+,"(0.95, 1.0]"
6212,0.492940597,40,0,0.234553089,5000.0,5,0,0,0,3.0,0,0.04560244157910347,0,0.9543975584208966,25-40,"(0.95, 1.0]"
8652,0.813340096,34,0,1.423288356,2000.0,7,0,2,0,2.0,0,0.11483248919248581,0,0.8851675108075142,25-40,"(0.85, 0.9]"
89800,0.13942872,39,0,0.025656566,4949.0,4,0,0,0,1.0,0,0.020397740602493285,0,0.9796022593975067,25-40,"(0.95, 1.0]"
79094,2175.0,51,0,0.421989721,5447.0,4,0,1,0,0.0,0,0.06695248857140541,0,0.9330475114285945,40-60,"(0.9, 0.95]"
11056,0.31868248,64,0,3109.0,,5,0,2,0,2.0,0,0.009840061329305172,0,0.9901599386706949,60+,"(0.95, 1.0]"
75529,0.9999999,82,0,0.0,2763.0,1,0,0,0,0.0,0,0.030139176361262798,0,0.9698608236387372,60+,"(0.95, 1.0]"
84390,0.058641903,80,0,0.015413456,4800.0,4,0,0,0,0.0,0,0.0033553572371602058,0,0.9966446427628398,60+,"(0.95, 1.0]"
145610,0.322733863,42,0,1511.0,,9,0,1,0,0.0,0,0.02300073057413101,0,0.976999269425869,40-60,"(0.95, 1.0]"
138508,0.674245973,75,0,0.381126054,4386.0,5,0,1,0,0.0,0,0.021415852196514606,0,0.9785841478034853,60+,"(0.95, 1.0]"
62136,0.001970668,69,0,0.001608826,4350.0,13,0,0,0,0.0,0,0.003947504796087742,0,0.9960524952039123,60+,"(0.95, 1.0]"
106447,0.244880762,63,2,0.406865061,6350.0,14,0,3,0,0.0,1,0.0784935936331749,0,0.9215064063668251,60+,"(0.9, 0.95]"
26849,0.143343557,62,0,0.204338868,8250.0,8,0,1,0,2.0,0,0.007716410141438246,0,0.9922835898585618,60+,"(0.95, 1.0]"
67825,0.9999999,45,0,1008.0,,2,1,1,1,3.0,0,0.5120806455612182,1,0.5120806455612182,40-60,"(0.5, 0.6]"
89253,0.000758967,80,0,0.120106901,6360.0,9,0,1,0,0.0,0,0.0057214376982301475,0,0.9942785623017698,60+,"(0.95, 1.0]"
39584,0.681478308,34,0,0.416758324,10000.0,18,0,2,0,0.0,0,0.09736891537904739,0,0.9026310846209527,25-40,"(0.9, 0.95]"
146646,0.006793386,52,0,0.00139986,10000.0,5,0,0,0,2.0,0,0.010513768997043371,0,0.9894862310029566,40-60,"(0.95, 1.0]"
25348,0.462443607,45,2,1.520516559,4800.0,12,0,3,0,0.0,0,0.27076457142829896,0,0.7292354285717011,40-60,"(0.7, 0.8]"
62526,1.012285276,53,0,0.807062655,11666.0,10,0,3,0,0.0,0,0.14083797186613084,0,0.8591620281338692,40-60,"(0.85, 0.9]"
