RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,true_label,predicted_proba,predicted_label,confidence,failure_category,case_id
0.244880762,63,2,0.406865061,6350.0,14,0,3,0,0.0,1,0.0784935936331749,0,0.9215064063668251,Unexplained high-confidence error,106447
0.66937646,51,0,1.106946225,13258.0,23,0,2,0,2.0,1,0.11869804114103318,0,0.8813019588589668,Boundary case,74187
0.122707297,32,0,0.390742872,7820.0,16,0,2,0,1.0,1,0.032867088168859485,0,0.9671329118311405,Unexplained high-confidence error,103287
0.001882132,35,1,0.330762639,5834.0,5,0,1,0,4.0,1,0.032867088168859485,0,0.9671329118311405,Unexplained high-confidence error,105747
0.211747398,49,0,0.573242342,6300.0,27,0,2,0,3.0,1,0.03292936980724335,0,0.9670706301927566,Unexplained high-confidence error,40786
0.234510326,23,0,0.143958869,2333.0,2,0,0,0,0.0,1,0.02476484328508377,0,0.9752351567149162,Demographic subgroup risk,63608
0.275776498,62,0,0.181737392,4500.0,13,0,0,0,0.0,1,0.019966334477066992,0,0.980033665522933,Unexplained high-confidence error,30145
0.066530257,61,0,0.130844681,10500.0,15,0,1,1,0.0,1,0.055428434163331985,0,0.944571565836668,Unexplained high-confidence error,33283
0.776474866,44,0,0.287359023,4255.0,6,0,0,0,0.0,1,0.07094812989234925,0,0.9290518701076508,Unexplained high-confidence error,99520
0.661004193,30,0,0.147498505,5016.0,7,0,0,0,1.0,1,0.061301793158054355,0,0.9386982068419456,Unexplained high-confidence error,142637
0.813567903,27,0,0.078807242,2816.0,3,0,0,0,0.0,1,0.09023453742265701,0,0.909765462577343,Unexplained high-confidence error,99807
0.391910037,52,0,0.559863448,4100.0,6,0,1,0,3.0,1,0.032867088168859485,0,0.9671329118311405,Unexplained high-confidence error,104704
0.003746466,86,1,0.13221205,4696.0,10,0,1,0,0.0,1,0.026633600518107415,0,0.9733663994818926,Demographic subgroup risk,65436
0.9999999,43,0,0.712599374,4150.0,3,0,2,0,0.0,1,0.11416695564985276,0,0.8858330443501472,Boundary case,99606
0.029735965,64,2,0.171122995,4300.0,11,0,0,0,0.0,1,0.054908885061740874,0,0.9450911149382591,Unexplained high-confidence error,92646
0.9999999,26,0,50.0,,2,0,0,0,0.0,1,0.11088583320379257,0,0.8891141667962075,Boundary case,5587
0.068226873,82,1,543.0,,12,0,1,0,1.0,1,0.037407221645116805,0,0.9625927783548832,Demographic subgroup risk,73366
0.323280507,60,0,0.566333383,6700.0,9,0,2,0,1.0,1,0.020754152908921242,0,0.9792458470910788,Unexplained high-confidence error,4158
0.5950233,67,1,0.200794852,5283.0,10,0,0,0,1.0,1,0.09616399556398392,0,0.9038360044360161,Demographic subgroup risk,69843
0.401532612,53,0,0.439246866,20500.0,22,0,5,0,1.0,1,0.07363328859210014,0,0.9263667114078998,Unexplained high-confidence error,102384
0.268279853,26,0,0.590704648,2000.0,6,0,2,0,0.0,1,0.04228209778666496,0,0.9577179022133351,Unexplained high-confidence error,50291
0.9999999,48,0,0.069254129,13500.0,2,0,0,0,0.0,1,0.05601238384842873,0,0.9439876161515712,Unexplained high-confidence error,62885
0.466800284,46,2,3165.0,,13,0,2,0,0.0,1,0.13566904962062837,0,0.8643309503793717,Boundary case,40038
0.61471897,61,0,5617.0,,27,0,1,0,,1,0.018135641515254975,0,0.9818643584847451,Outlier / distribution shift,78472
0.175045097,39,0,0.587597197,10416.0,37,0,2,0,2.0,1,0.04636617973446846,0,0.9536338202655316,Unexplained high-confidence error,116836
0.980110741,53,0,0.538544519,12050.0,9,0,2,0,5.0,1,0.07537229508161544,0,0.9246277049183845,Unexplained high-confidence error,39053
0.820276623,42,0,0.691323471,2500.0,5,0,0,0,0.0,1,0.0917725294828415,0,0.9082274705171585,Unexplained high-confidence error,34973
0.0,45,2,0.084254144,2895.0,2,0,0,0,2.0,1,0.11636345535516739,0,0.8836365446448327,Boundary case,86611
0.929339235,54,1,0.333868952,5600.0,6,0,1,0,0.0,1,0.12198725789785385,0,0.8780127421021462,Boundary case,32285
0.0,39,0,0.232806555,6833.0,9,0,1,0,1.0,1,0.010760563798248768,0,0.9892394362017513,Unexplained high-confidence error,86555
0.087649402,27,0,0.009995457,2200.0,2,0,0,1,1.0,1,0.12955594062805176,0,0.8704440593719482,Boundary case,1187
0.255042353,76,0,1694.0,,10,0,0,0,0.0,1,0.011546800099313258,0,0.9884531999006867,Demographic subgroup risk,126464
0.087515152,50,1,0.623595506,6585.0,22,0,2,0,1.0,1,0.0682256579399109,0,0.9317743420600891,Unexplained high-confidence error,129304
0.691918598,60,0,0.427929951,2226.0,8,0,0,0,0.0,1,0.053270906955003736,0,0.9467290930449963,Unexplained high-confidence error,94799
0.998613037,45,0,797.0,,4,0,0,0,0.0,1,0.0964582771062851,0,0.9035417228937149,Unexplained high-confidence error,24866
0.022835395,65,0,155.0,,8,0,0,0,0.0,1,0.004515372635796666,0,0.9954846273642033,Unexplained high-confidence error,112630
0.9999999,64,0,0.0,16000.0,0,0,0,0,0.0,1,0.05274193659424782,0,0.9472580634057521,Unexplained high-confidence error,18267
0.475386184,47,0,1.074387947,2123.0,16,0,1,0,0.0,1,0.08488036692142487,0,0.9151196330785751,Unexplained high-confidence error,112355
0.799913761,55,0,0.685566225,6560.0,21,0,2,0,1.0,1,0.11562499701976776,0,0.8843750029802322,Boundary case,58894
0.002158816,69,0,0.416775315,2300.0,11,0,1,0,3.0,1,0.00781336920335889,0,0.9921866307966412,Demographic subgroup risk,35003
0.0,37,1,0.317512275,11608.0,10,0,2,0,3.0,1,0.044049997627735135,0,0.9559500023722649,Unexplained high-confidence error,85338
0.159851455,80,0,0.146556798,3397.0,9,0,0,0,0.0,1,0.014994141086935997,0,0.985005858913064,Demographic subgroup risk,49080
0.460512058,49,0,1.407615983,3728.0,8,0,1,0,0.0,1,0.04724742695689201,0,0.952752573043108,Unexplained high-confidence error,132084
0.0,38,0,0.368294153,3317.0,9,0,1,0,0.0,1,0.020301009342074395,0,0.9796989906579257,Unexplained high-confidence error,64679
0.999759326,25,1,0.097120271,7083.0,3,0,0,0,0.0,1,0.14112578779459,0,0.85887421220541,Boundary case,140910
0.880319909,24,0,0.315369261,500.0,3,0,0,0,0.0,1,0.064073096960783,0,0.935926903039217,Demographic subgroup risk,90963
0.562347588,61,0,0.51210842,4500.0,12,0,2,0,0.0,1,0.04194650650024414,0,0.9580534934997559,Unexplained high-confidence error,87893
0.982229402,51,0,4865.0,,13,0,2,0,0.0,1,0.090633824467659,0,0.909366175532341,Unexplained high-confidence error,142329
0.959831608,48,0,1398.0,,7,0,1,0,0.0,1,0.08294873982667923,0,0.9170512601733207,Unexplained high-confidence error,84969
0.322190835,31,2,0.049708605,2916.0,6,0,0,0,0.0,1,0.13367498219013213,0,0.8663250178098678,Boundary case,100942
0.026069485,70,0,2673.0,,11,0,2,0,0.0,1,0.004749239282682538,0,0.9952507607173174,Demographic subgroup risk,8399
0.967387975,80,0,1.715938979,1900.0,16,0,2,0,1.0,1,0.115362548828125,0,0.884637451171875,Boundary case,27683
0.886787623,29,0,0.578736877,6000.0,10,0,1,0,4.0,1,0.12264469712972641,0,0.8773553028702736,Boundary case,40642
0.349333062,43,0,0.38238615,5313.0,13,0,1,0,0.0,1,0.03203574493527413,0,0.9679642550647258,Unexplained high-confidence error,79816
0.296209078,53,0,0.438146463,4833.0,15,0,2,0,1.0,1,0.03718414753675461,0,0.9628158524632454,Unexplained high-confidence error,130226
0.0,31,0,0.476830782,4833.0,11,0,1,0,2.0,1,0.03454131931066513,0,0.9654586806893348,Unexplained high-confidence error,121216
0.824705823,29,0,0.586914576,5700.0,14,0,1,0,2.0,1,0.12968825399875641,0,0.8703117460012436,Boundary case,16708
0.9999999,33,0,107.0,,1,0,0,0,0.0,1,0.12625550627708435,0,0.8737444937229156,Boundary case,50964
0.645177411,26,0,0.168842472,2297.0,2,0,0,0,0.0,1,0.06654977351427079,0,0.9334502264857292,Unexplained high-confidence error,67958
0.026791157,60,0,272.0,,5,0,0,0,2.0,1,0.006489234883338213,0,0.9935107651166618,Unexplained high-confidence error,41058
0.009087605,54,0,1.061505644,11250.0,12,0,4,0,0.0,1,0.04855897575616837,0,0.9514410242438316,Unexplained high-confidence error,149842
0.134393975,64,2,0.07177395,6617.0,13,0,0,0,0.0,1,0.07370107620954514,0,0.9262989237904549,Unexplained high-confidence error,63661
0.9999999,31,0,240.0,,1,0,0,0,0.0,1,0.12021850198507308,0,0.8797814980149269,Boundary case,44905
0.903346055,43,0,0.433243177,4066.0,10,0,0,0,2.0,1,0.10455361902713775,0,0.8954463809728622,Boundary case,89738
0.519153182,58,0,0.220229344,3400.0,9,0,0,0,0.0,1,0.05264554098248482,0,0.9473544590175151,Unexplained high-confidence error,96888
0.9999999,21,0,307.0,,0,0,0,0,,1,0.037877294793725015,0,0.962122705206275,Demographic subgroup risk,134006
0.354984932,62,0,0.571489787,7000.0,9,0,2,0,1.0,1,0.021069916151463985,0,0.978930083848536,Unexplained high-confidence error,7582
0.9999999,35,0,0.221808511,1879.0,11,0,0,0,0.0,1,0.11636345535516739,0,0.8836365446448327,Boundary case,147325
0.65813111,46,0,0.102979404,5000.0,11,0,0,0,2.0,1,0.07603009641170502,0,0.923969903588295,Unexplained high-confidence error,145511
0.003382562,43,0,0.196780322,10000.0,9,0,1,0,0.0,1,0.0067147463094443085,0,0.9932852536905556,Unexplained high-confidence error,20372
0.821704108,50,0,0.504587648,18636.0,14,0,2,0,4.0,1,0.08525400906801224,0,0.9147459909319877,Unexplained high-confidence error,119490
0.0,62,2,3489.0,,18,0,2,1,0.0,1,0.11790774092078209,0,0.882092259079218,Boundary case,30379
0.752066116,32,0,0.062734316,4000.0,3,0,0,0,1.0,1,0.07642830461263657,0,0.9235716953873634,Unexplained high-confidence error,13407
0.0,25,0,0.152896812,2916.0,3,0,0,1,0.0,1,0.1296721175312996,0,0.8703278824687004,Boundary case,186
0.9999999,59,0,0.0,,0,0,0,0,0.0,1,0.0857178583741188,0,0.9142821416258812,Unexplained high-confidence error,30045
0.315238751,91,1,0.519949601,16666.0,28,0,0,0,0.0,1,0.03979205973446369,0,0.9602079402655364,Demographic subgroup risk,104813
0.332390063,31,0,1.084812623,3041.0,10,0,2,0,1.0,1,0.073332978785038,0,0.926667021214962,Unexplained high-confidence error,47908
0.373138436,60,2,0.33000997,7020.0,21,0,1,0,3.0,1,0.10179010182619094,0,0.898209898173809,Boundary case,148574
0.594405594,39,1,0.537291042,4665.0,6,0,1,0,4.0,1,0.12264469712972641,0,0.8773553028702736,Boundary case,34657
0.75659847,73,0,0.847757783,3500.0,7,0,3,0,2.0,1,0.05331287235021591,0,0.9466871276497841,Demographic subgroup risk,101987
0.81759609,32,0,2841.0,,7,0,2,0,1.0,1,0.08811238557100295,0,0.911887614428997,Unexplained high-confidence error,97903
0.391733982,30,1,0.212210251,6125.0,12,0,0,0,0.0,1,0.06220277398824692,0,0.9377972260117531,Unexplained high-confidence error,96417
0.778719498,81,0,0.53801306,4287.0,11,0,2,0,0.0,1,0.04236787334084511,0,0.9576321266591549,Demographic subgroup risk,857
0.150407085,45,0,0.13027179,3200.0,3,0,0,0,0.0,1,0.015783423744142055,0,0.9842165762558579,Unexplained high-confidence error,8854
0.785155749,51,0,0.856722998,1360.0,5,0,1,0,1.0,1,0.08995717316865921,0,0.9100428268313407,Unexplained high-confidence error,147511
0.916853218,45,0,1.013058559,4900.0,6,0,2,0,3.0,1,0.12198725789785385,0,0.8780127421021462,Boundary case,138122
0.59703925,42,0,0.463107379,5000.0,11,0,1,0,0.0,1,0.06045045033097267,0,0.9395495496690274,Unexplained high-confidence error,9420
0.912345966,40,0,0.022202617,6800.0,3,0,0,0,0.0,1,0.0716318093240261,0,0.9283681906759739,Unexplained high-confidence error,85958
0.970149254,31,0,0.001249688,4000.0,1,0,0,0,0.0,1,0.09677563160657883,0,0.9032243683934211,Unexplained high-confidence error,82529
0.0,54,1,0.386358587,4500.0,5,0,1,0,0.0,1,0.040251970291137695,0,0.9597480297088623,Unexplained high-confidence error,128223
0.393532246,58,0,0.36131934,2000.0,6,0,0,0,0.0,1,0.025203439965844156,0,0.9747965600341558,Unexplained high-confidence error,126386
0.752234316,47,0,0.443575419,2684.0,10,0,1,0,2.0,1,0.0930427998304367,0,0.9069572001695633,Unexplained high-confidence error,94269
0.244962211,51,0,0.98218166,2300.0,18,0,1,0,0.0,1,0.043401511013507844,0,0.9565984889864921,Unexplained high-confidence error,143723
0.981826443,40,0,0.780177586,4166.0,6,0,2,0,2.0,1,0.11804060190916062,0,0.8819593980908393,Boundary case,110743
0.129398447,66,0,0.042218614,11700.0,9,0,1,2,1.0,1,0.11374084949493408,0,0.8862591505050659,Boundary case,137343
0.0,60,0,0.38207724,8000.0,8,0,1,0,0.0,1,0.006705555226653814,0,0.9932944447733462,Unexplained high-confidence error,45433
0.935477364,42,0,0.833917309,5707.0,8,0,2,0,3.0,1,0.11085374504327775,0,0.8891462549567223,Boundary case,33993
0.603540339,35,0,0.396797153,8429.0,13,0,2,0,1.0,1,0.06601712331175805,0,0.933982876688242,Unexplained high-confidence error,124692
0.739417372,47,0,0.308138372,5000.0,5,0,1,0,1.0,1,0.05832153856754303,0,0.9416784614324569,Unexplained high-confidence error,139038
0.76624875,37,0,0.444584781,9500.0,5,0,2,0,2.0,1,0.060271146893501285,0,0.9397288531064987,Unexplained high-confidence error,76511
0.00887737,91,0,0.002687914,20833.0,4,1,0,0,0.0,1,0.03688266836106777,0,0.9631173316389322,Demographic subgroup risk,48929
0.234859354,47,1,0.32642487,1350.0,11,0,0,0,3.0,1,0.09107408374547958,0,0.9089259162545205,Unexplained high-confidence error,115673
